"id_entri","versi_kbji","kode","kode_normalisasi","jumlah_digit","tingkat","kedalaman","urutan","kode_induk","nama_resmi","uraian_resmi","kode_golongan_pokok","nama_golongan_pokok","kode_subgolongan_pokok","nama_subgolongan_pokok","kode_golongan","nama_golongan","kode_subgolongan","nama_subgolongan","jalur_kode","jalur_nama","jumlah_anak_langsung","jumlah_jabatan_turunan","kelompok_sisa","nama_pencarian","halaman_pdf_mulai","halaman_pdf_selesai","halaman_cetak_mulai","halaman_cetak_selesai","status_validasi"
"E00001","2026","0","0","1","Golongan pokok","1","1","","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia
(Polri) mencakup semua pekerjaan yang dilakukan oleh anggota TNI dan Polri.
Anggota TNI dan Polri adalah mereka yang berdinas aktif dalam salah satu unsur
kesatuan TNI atau Polri, baik atas dasar sukarela maupun wajib, yang tidak secara
bebas menerima lapangan pekerjaan sipil, serta tunduk kepada disiplin
militer/kepolisian. Mencakup anggota TNI yang berdinas aktif di Markas Besar
(Mabes) TNI, kesatuan TNI Angkatan Darat (AD), TNI Angkatan Laut (AL), TNI
Angkatan Udara (AU), dan Polri serta jasa militer lainnya, seperti halnya wajib
militer yang terdaftar untuk latihan militer atau tugas lainnya dalam periode
tertentu. Tugas pokok TNI adalah menegakkan kedaulatan negara,
mempertahankan keutuhan wilayah Negara Kesatuan Republik Indonesia yang
berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia
Tahun 1945, serta melindungi segenap bangsa dan seluruh tumpah darah
Indonesia dari ancaman dan gangguan terhadap keutuhan bangsa dan negara.
Polri merupakan satu kesatuan dalam melaksanakan peran memelihara
keamanan dan ketertiban masyarakat, menegakkan hukum, serta memberikan
perlindungan, pengayoman, dan pelayanan kepada masyarakat dalam rangka
terpeliharanya keamanan dalam negeri.
Subgolongan pokok dalam golongan pokok ini diklasifikasikan sebagai berikut
01 Perwira TNI dan Polri;
02 Bintara TNI dan Polri; dan
03 Tamtama TNI dan Polri.
Dikecualikan dari golongan ini adalah
- pekerjaan yang dilakukan oleh pekerja sipil dalam institusi pemerintahan
yang terkait dengan pertahanan dan keamanan negara; dan
- inspektur pabean dan anggota perbatasan atau orang sipil yang
dipersenjatai lainnya.
Catatan: banyak pekerjaan yang dilakukan oleh anggota TNI dan Polri dalam
kaitan sifat dasar dari pekerjaan yang dilakukan oleh pekerja sipil, seperti dokter,
operator radio, koki, sekretaris, dan pengemudi truk berat. Secara konseptual,
mungkin lebih tepat untuk menggolongkan pekerjaan tersebut pada pekerjaan
sipil sejenisnya, dan pendekatan ini telah digunakan dalam berbagai klasifikasi
jabatan pada beberapa negara. Secara khusus, penggolongan tertentu juga
mengidentifikasi sejumlah kelompok pekerjaan spesifik militer. Pada beberapa
negara, mungkin sulit untuk menghasilkan informasi tentang sifat dasar dari
pekerjaan yang dilakukan oleh anggota angkatan bersenjata sehingga digunakan
pendekatan yang paling sesuai dengan keadaan dan kebutuhan penggunanya.
Untuk tujuan keterbandingan secara internasional, jika data mengenai anggota
angkatan bersenjata dilaporkan dan digolongkan menurut jabatannya, maka
dimasukkan ke dalam ISCO-08 golongan pokok 0 yang memungkinkan.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","","","","","","","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","3","201","tidak","tentara nasional indonesia tni dan kepolisian negara republik indonesia polri","103","104","71","72","lolos_struktur_otomatis_belum_review_manual"
"E00002","2026","01","01","2","Subgolongan pokok","2","2","0","PERWIRA TNI DAN POLRI","Perwira TNI dan Polri memberikan kepemimpinan dan manajemen terhadap unit
organisasi dalam TNI dan Polri dan/atau melakukan tugas serupa dengan yang
dilakukan pada berbagai pekerjaan sipil di luar TNI dan Polri. Subgolongan pokok
ini mencakup jabatan anggota TNI dan Polri dengan pangkat dari letnan dua (atau
yang setara) ke atas.
Golongan dalam subgolongan pokok ini diklasifikasikan sebagai berikut
011 perwira TNI dan Polri.
Dikecualikan dari subgolongan pokok ini adalah
- pekerjaan yang dilakukan oleh pekerja sipil dalam institusi pemerintahan
yang terkait dengan pertahanan dan keamanan negara; dan
- inspektur pabean dan anggota perbatasan atau orang sipil yang
dipersenjatai lainnya.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","","","","","0 > 01","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI","1","191","tidak","perwira tni dan polri","104","104","72","72","lolos_struktur_otomatis_belum_review_manual"
"E00003","2026","011","011","3","Golongan","3","3","01","PERWIRA TNI DAN POLRI","Perwira TNI dan Polri memberikan kepemimpinan dan manajemen terhadap unit
organisasi dalam TNI dan Polri dan/atau melakukan tugas serupa dengan yang
dilakukan pada berbagai pekerjaan sipil di luar TNI dan Polri. Golongan ini
mencakup jabatan anggota TNI dan Polri dengan pangkat dari letnan dua (atau
yang setara) ke atas.
Subgolongan dalam golongan ini diklasifikasikan sebagai berikut
0111 perwira Markas Besar (Mabes) TNI;
0112 perwira TNI AD;
0113 perwira TNI AL;
0114 perwira TNI AU; dan
0115 perwira Polri.
Dikecualikan dari golongan ini adalah
- pekerjaan yang dilakukan oleh pekerja sipil dalam institusi pemerintahan
yang terkait dengan pertahanan dan keamanan negara; dan
- inspektur pabean dan anggota perbatasan atau orang sipil yang
dipersenjatai lainnya.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","","","0 > 01 > 011","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI","5","191","tidak","perwira tni dan polri","104","105","72","73","lolos_struktur_otomatis_belum_review_manual"
"E00004","2026","0111","0111","4","Subgolongan","4","4","011","PERWIRA MARKAS BESAR TNI","Perwira Markas Besar TNI memberikan kepemimpinan dan manajemen
terhadap unit organisasi TNI pada satuan kerja tingkat Mabes TNI dan/atau
melakukan tugas serupa dengan yang dilakukan pada berbagai pekerjaan sipil di
luar TNI. Subgolongan ini mencakup anggota TNI dengan pangkat dari letnan dua
(atau yang setara) ke atas yang berdinas aktif pada satuan kerja tingkat Mabes
TNI.
Contoh jabatan yang diklasifikasikan di sini
- Panglima TNI;
- Kepala Staf Umum TNI (Kasum TNI);
- Inspektur Jenderal TNI (Irjen TNI);
- Staf Ahli Panglima TNI (Sahli Panglima TNI);
- Asisten Kebijakan Strategis dan Perencanaan Umum Panglima TNI
(Asrenum Panglima TNI);
- Asisten Intelijen Panglima TNI (Asintel Panglima TNI);
- Asisten Operasi Panglima TNI (Asops Panglima TNI);
- Asisten Personalia Panglima TNI (Aspers Panglima TNI);
- Asisten Logistik Panglima TNI (Aslog Panglima TNI);
- Asisten Teritorial Panglima TNI (Aster Panglima TNI);
- Asisten Komunikasi dan Elektronika Panglima TNI (Askomlek Panglima TNI);
dan
- anggota Mabes TNI berpangkat perwira lainnya.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI","43","43","tidak","perwira markas besar tni","105","105","73","73","lolos_struktur_otomatis_belum_review_manual"
"E00005","2026","0111.01","011101","6","Jabatan","5","5","0111","PANGLIMA TNI","Panglima TNI adalah pimpinan TNI yang berkedudukan dan bertanggung jawab
kepada Presiden sesuai dengan ketentuan dan peraturan perundang-undangan.
Tugasnya memimpin TNI; melaksanakan kebijakan pertahanan negara;
menyelenggarakan strategi militer dan melaksanakan operasi militer;
mengembangkan doktrin TNI; menyelenggarakan penggunaan kekuatan TNI
bagi kepentingan operasi militer; menyelenggarakan pembinaan kekuatan TNI
serta memelihara kesiagaan operasional; memberikan pertimbangan kepada
Menteri Pertahanan dalam hal penetapan kebijakan pertahanan negara;
memberikan pertimbangan kepada Menteri Pertahanan dalam hal penetapan
kebijakan pemenuhan kebutuhan TNI dan komponen pertahanan lainnya;
memberikan pertimbangan kepada Menteri Pertahanan dalam menyusun dan
melaksanakan perencanaan strategis pengelolaan sumber daya nasional untuk
kepentingan pertahanan negara; menggunakan komponen cadangan setelah
dimobilisasi bagi kepentingan operasi militer; serta menggunakan komponen
mendukung yang telah disiapkan bagi kepentingan operasi militer dan
melaksanakan tugas dan kewajiban lain sesuai dengan ketentuan peraturan
perundang-undangan.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111 > 0111.01","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI > PANGLIMA TNI","0","0","tidak","panglima tni","105","106","73","74","lolos_struktur_otomatis_belum_review_manual"
"E00006","2026","0111.02","011102","6","Jabatan","5","6","0111","KEPALA STAF UMUM TNI (KASUM TNI)","Kasum TNI berkedudukan di bawah dan bertanggung jawab kepada Panglima
TNI. Tugasnya membantu Panglima mengoordinasikan tugas-tugas staf dalam
penggunaan kekuatan dan pembinaan TNI serta komponen kekuatan
pertahanan negara lainnya yang meliputi fungsi perencanaan, intelijen, operasi,
personel, logistik, komunikasi dan elektronika, serta teritorial; dan melaksanakan
koordinasi dengan unit terkait dalam rangka koordinasi tugas staf TNI.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111 > 0111.02","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI > KEPALA STAF UMUM TNI (KASUM TNI)","0","0","tidak","kepala staf umum tni kasum tni","106","106","74","74","lolos_struktur_otomatis_belum_review_manual"
"E00007","2026","0111.03","011103","6","Jabatan","5","7","0111","INSPEKTUR JENDERAL TNI (IRJEN TNI)","Irjen TNI berkedudukan di bawah dan bertanggung jawab kepada Panglima TNI.
Tugasnya membantu Panglima TNI menyelenggarakan pengawasan dan
pemeriksaan umum serta pengawasan dan pemeriksaan perbendaharaan
terhadap daya guna, hasil guna, tepat guna, tertib hukum, dan tertib tindak di
bidang pembinaan kesiapsiagaan penggunaan dan pembangunan kekuatan di
lingkungan TNI dalam rangka mendukung tugas pokok TNI; dan melaksanakan
koordinasi dengan pihak terkait dalam rangka penyelenggaraan pengawasan
dan pemeriksaan umum dan perbendaharaan di lingkungan TNI.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111 > 0111.03","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI > INSPEKTUR JENDERAL TNI (IRJEN TNI)","0","0","tidak","inspektur jenderal tni irjen tni","106","106","74","74","lolos_struktur_otomatis_belum_review_manual"
"E00008","2026","0111.04","011104","6","Jabatan","5","8","0111","STAF AHLI PANGLIMA TNI (SAHLI PANGLIMA TNI)","Sahli Panglima TNI bertugas membantu memberikan saran kepada Panglima TNI
sesuai dengan bidang keahliannya untuk mengolah dan menelaah secara
akademis masalah nasional dan internasional yang terkait dalam rangka
mendukung tugas pokok TNI; dan melaksanakan koordinasi dengan unit terkait
dalam rangka pemberian saran kepada Panglima TNI.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111 > 0111.04","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI > STAF AHLI PANGLIMA TNI (SAHLI PANGLIMA TNI)","0","0","tidak","staf ahli panglima tni sahli panglima tni","106","106","74","74","lolos_struktur_otomatis_belum_review_manual"
"E00009","2026","0111.05","011105","6","Jabatan","5","9","0111","ASISTEN KEBIJAKAN STRATEGIS DAN PERENCANAAN UMUM PANGLIMA TNI (ASRENUM PANGLIMA TNI)","Asrenum berkedudukan di bawah dan bertanggung jawab kepada Panglima TNI.
Dalam pelaksanaan tugas sehari-hari, Asrenum dikoordinasikan oleh Kasum TNI.
Tugasnya membantu Panglima TNI merumuskan kebijakan dan perencanaan
strategis pengembangan kekuatan TNI, merumuskan kebijakan sistem dan
metode, sistem informasi, penelitian dan pengembangan, menyiapkan program
dan anggaran, pengendalian program dan anggaran, pelaksanaan anggaran,
serta kerja sama internasional TNI dalam rangka pembinaan dan penggunaan
kekuatan TNI dalam rangka mendukung tugas pokok TNI; dan melaksanakan
koordinasi dengan unit terkait dalam rangka pemberian saran kepada Panglima
TNI. Termasuk dalam jabatan ini Wakil Asrenum Panglima TNI.","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111 > 0111.05","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI > ASISTEN KEBIJAKAN STRATEGIS DAN PERENCANAAN UMUM PANGLIMA TNI (ASRENUM PANGLIMA TNI)","0","0","tidak","asisten kebijakan strategis dan perencanaan umum panglima tni asrenum panglima tni","106","107","74","75","lolos_struktur_otomatis_belum_review_manual"
"E00010","2026","0111.06","011106","6","Jabatan","5","10","0111","ASISTEN INTELIJEN PANGLIMA TNI (ASINTEL PANGLIMA TNI)","Asintel Panglima TNI berkedudukan di bawah dan bertanggung jawab kepada
Panglima TNI. Dalam pelaksanaan tugas sehari-hari, Asintel Panglima TNI
dikoordinasikan oleh Kasum TNI. Tugasnya membantu Panglima TNI
menyelenggarakan fungsi staf di bidang intelijen yang meliputi penyelenggaraan
kegiatan dan pembinaan intelijen pertahanan negara dalam rangka mendukung
tugas pokok TNI; serta melaksanakan koordinasi dengan unit terkait dalam
rangka pemberian saran kepada Panglima TNI. Termasuk dalam jabatan ini Wakil
Asisten Intelijen Panglima TNI (Waasintel Panglima TNI).","0","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI)","01","PERWIRA TNI DAN POLRI","011","PERWIRA TNI DAN POLRI","0111","PERWIRA MARKAS BESAR TNI","0 > 01 > 011 > 0111 > 0111.06","TENTARA NASIONAL INDONESIA (TNI) DAN KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI) > PERWIRA TNI DAN POLRI > PERWIRA TNI DAN POLRI > PERWIRA MARKAS BESAR TNI > ASISTEN INTELIJEN PANGLIMA TNI (ASINTEL PANGLIMA TNI)","0","0","tidak","asisten intelijen panglima tni asintel panglima tni","107","107","75","75","lolos_struktur_otomatis_belum_review_manual"
